,kernel type,time,HW GFLOPS,NZ GFLOPS
0,godunov_dr,10.749441,855.6054217144874,643.3873745062651
1,neigh_dr,0.32443,2059.488949850507,1739.208258175878
2,localwoader,0.468274,2086.470741488957,608.82624275531
3,ader,0.71812,992.7170946359942,195.94914498969533
4,neigh,0.36499,2020.0005479602185,569.0863508589277
5,local,1.185518,1425.4781454182896,359.1784350806989
6,all,1.547816,1568.1515115491763,409.3014461667278
